Address,Name,Description,Default
1000,PlcStatusAddress,系统状态字,0
1001,EFU1Switch,EFU1开关,0
1002,EFU1Gear,EFU1档位,0
1003,EFU1SwitchFeedback,EFU1开关反馈,0
1004,EFU1GearFeedback,EFU1档位反馈,0
1005,EFU2Switch,EFU2开关,0
1006,EFU2Gear,EFU2档位,0
1007,EFU2SwitchFeedback,EFU2开关反馈,0
1008,EFU2GearFeedback,EFU2档位反馈,0
1009,RobotErrorCode,Robot单工位报警代码,0
1010,LpErrorCode,LP单工位报警代码,0
1011,AlnErrorCode,ALN单工位报警代码,0
1012,StageErrorCode,STAGE单工位报警代码,0
1016,SelectAxisId,指定轴ID,0
1017,CurrentAxisErrorMSG,当前轴错误信息,0
1018,CurrentAxisTargetPosition1,当前轴目标位置设定[1],0
1019,CurrentAxisTargetPosition2,当前轴目标位置设定[2],0
1020,CurrentAxisSpeed1,当前轴目标速度设定[1],0
1021,CurrentAxisSpeed2,当前轴目标速度设定[2],0
1022,CurrentAxiPosition1,当前轴当前实时位置[1],0
1023,CurrentAxiPosition2,当前轴当前实时位置[2],0
1032,SelectTestMode,测试模式选择,0
1034,EdgeCurrentTestSlot,Edge当前测试slot,0
1035,EdgeCurrentTestCassette,Edge当前测试Cassette,0
1036,AfterMeasurementSlotId,测试完放的Slot位置,0
1037,AfterMeasurementCassetteId,测试完放的cassette位置,0
1039,WaferIdLightness,WaferID光源亮度设定,0
1040,Ch1Lightness,CH1灯亮度,0
1041,Ch2Lightness,CH2灯亮度,0
1042,Ch3Lightness,CH3灯亮度,0
1043,Ch4Lightness,CH4灯亮度,0
1044,BS1Lightness,BS线光源1亮度设定,0
1045,BS2Lightness,BS线光源2亮度设定,0
1048,LoadPort1SelectedSlot1,LP1/SLOT选择[1],0
1049,LoadPort1SelectedSlot2,LP1/SLOT选择[2],0
1050,LoadPort2SelectedSlot1,LP2/SLOT选择[1],0
1051,LoadPort2SelectedSlot2,LP2/SLOT选择[2],0
1052,LoadPort3SelectedSlot1,LP3/SLOT选择[1],0
1053,LoadPort3SelectedSlot2,LP3/SLOT选择[2],0
1054,LoadPort4SelectedSlot1,LP4/SLOT选择[1],0
1055,LoadPort4SelectedSlot2,LP4/SLOT选择[2],0
1056,AlignerCurrentTestSlot,Aligner当前检测SlotId,
1057,AlignerCurrentTestCassette,Aligner当前检测CassetteId,
1058,SurfaceCurrentTestSlot,Surface当前检测SlotId,
1059,SurfaceCurrentTestCassette,Surface当前检测CassetteId,
1064,RobotTask,RB任务号,0
1066,Arm1Pos1,Arm1_Postion[1],0
1067,Arm1Pos2,Arm1_Postion[2],0
1068,RoundPos1,R_Postion[1],0
1069,RoundPos2,R_Postion[2],0
1070,Arm2Pos1,Arm2_Postion[1],0
1071,Arm2Pos2,Arm2_Postion[2],0
1072,ZPos1,Z_Postion[1],0
1073,ZPos2,Z_Postion[2],0
1080,LoadPort1Task,LP1任务号,0
1081,LoadPort2Task,LP2任务号,0
1082,LoadPort3Task,LP3任务号,0
1083,LoadPort4Task,LP4任务号,0
1084,LP1MPResult1,LP1MP结果[1],0
1085,LP1MPResult2,LP1MP结果[2],0
1086,LP2MPResult1,LP2MP结果[1],0
1087,LP2MPResult2,LP2MP结果[2],0
1088,LP3MPResult1,LP3MP结果[1],0
1089,LP3MPResult2,LP3MP结果[2],0
1090,LP4MPResult1,LP4MP结果[1],0
1091,LP4MPResult2,LP4MP结果[2],0
1092,SetAutoCassetteChangeCount,设定自动换盒次数,0
1093,CurrentCassetteChangeCount,当前已换盒次数,0
1096,AlignerTask,ALN任务号,0
1097,AlignerAngle,Wafer停止角度,0
1112,SelectCylinderID,指定气缸ID,0
1113,SelectCylinderErrCode,选定气缸错误代码,0
1126,CassetteId11,,0
1127,CassetteId12,,0
1128,CassetteId13,,0
1129,CassetteId14,,0
1130,CassetteId15,,0
1131,CassetteId16,,0
1132,CassetteId17,,0
1133,CassetteId21,,0
1134,CassetteId22,,0
1135,CassetteId23,,0
1136,CassetteId24,,0
1137,CassetteId25,,0
1138,CassetteId26,,0
1139,CassetteId27,,0
1140,CassetteId31,,0
1141,CassetteId32,,0
1142,CassetteId33,,0
1143,CassetteId34,,0
1144,CassetteId35,,0
1145,CassetteId36,,0
1146,CassetteId37,,0
1147,CassetteId41,,0
1148,CassetteId42,,0
1149,CassetteId43,,0
1150,CassetteId44,,0
1151,CassetteId45,,0
1152,CassetteId46,,0
1153,CassetteId47,,0
