CEID,EventName,Category,Description
1001,WaferResultReported,Report,单片检测结果事件（S6F11）
1002,MappingCompleted,Report,载具Mapping完成事件（S6F11）
1003,WaferProcessingStarted,Report,单片晶圆检测开始事件（S6F11）
1004,CarrierProcessingStarted,Report,整盒晶圆检测开始事件（S6F11）
1005,LotCompleted,Report,整盒晶圆检测完成事件（S6F11）
1006,OnlineStateChanged,State,在线状态变化事件（状态类事件，暂不支持）
1007,AlarmRaised,Alarm,报警发生（S5F1/S5F2链路）
1008,AlarmCleared,Alarm,报警清除（S5链路，暂不支持）
1009,EquipmentStateChanged,State,设备运行状态变化事件（状态类事件，暂不支持）
1010,LotAborted,Exception,批次中止（异常类事件，暂不支持）
1011,CarrierPlaced,Report,花篮放上事件（S6F11）
1012,CarrierRemoved,Report,花篮取走事件（S6F11）
