ID,Name,Category,Format,Description
1000,LOTID,wafer,26P12345,晶圆批次编号
1001,WAFERID,wafer,EX2354FSD32,晶圆编号
1002,RFID,wafer,RF100001,晶圆盒编号
1003,SLOTID,wafer,12,"晶圆在晶圆盒所处位置编号，一般[1,25]"
1004,SLOTSLIST,wafer,"1,3,4,5,12,23",晶圆位置列表，一般为半自动挑选晶圆检测使用
1005,WAFERLIST,wafer,"wafer1,wafer2,wafer3",晶圆列表，检测完成后若设备有waferID检测功能则会返回 or 可为空
1006,PORTID,wafer,1,LoadPort编号，记录晶圆和所在Port
1007,RESULT,wafer,Pass,检测结果，一般为Pass，Fail，Error
2000,PPID,setting,RecipeName1,配方名称
2001,MODE,setting,00,运行模式，一般分为未设置00，全自动01，半自动02，分拣03
2XXX,参数名,setting,123,配方中各参数名及对应值，后续补充
3000,STATUS,device,unknown,设备状态，一般分为unknown，initializing，Idel，Running，Jam
3001,COMMUNICATIONS,device,Online,设备通信状态，一般分为远程在线，远程离线，本地离线。remote online，remote offline，local offline
3002,WORKSTATION,device,Edge,工位状态查询
